Exercise_A,Exercise_B,Prerequisite_avg,rule_weight
solutions_to_systems_of_equations,systems_of_equations_with_elimination_0.5,6.8,0.725
solutions_to_systems_of_equations,systems_of_equations_with_substitution,7.1,0.7625
solutions_to_systems_of_equations,graphing_systems_of_equations,5.5,0.5625
solutions_to_systems_of_equations,graphing_linear_equations,4.8,0.475
compound_inequalities,linear_inequalities,7.333333333,0.791666666625
compound_inequalities,inequalities_on_a_number_line,5.416666667,0.552083333375
counting_2,counting_1,5.636363636,0.5795454545
counting_1,counting_2,4.555555556,0.4444444445
trigonometry_0.5,systems_of_equations_with_elimination_0.5,2.222222222,0.15277777775
trigonometry_0.5,linear_equations_2,3.111111111,0.263888888875
trigonometry_0.5,degrees_to_radians,3.0,0.25
trigonometry_0.5,trigonometry_1,7.333333333,0.791666666625
graphing_inequalities,permutations_1,2.545454545,0.193181818125
graphing_inequalities,graphing_systems_of_equations,6.272727273,0.659090909125
graphing_inequalities,graphing_linear_equations,7.727272727,0.840909090875
variance,mean_median_and_mode,4.8,0.475
variance,creating_box_and_whisker_plots,4.2,0.4
variance,exploring_mean_and_median,5.4,0.55
quadratic_equation,solving_quadratics_by_taking_the_square_root,6.153846154,0.64423076925
quadratic_equation,solving_quadratics_by_factoring_2,6.384615385,0.673076923125
linear_equations_1,graphing_points,4.181818182,0.3977272727499999
linear_equations_1,combining_like_terms_with_two_variables,3.818181818,0.35227272725
linear_equations_1,combining_like_terms_1,6.272727273,0.659090909125
average_word_problems,variance,3.9,0.3625
average_word_problems,mean_median_and_mode,5.0,0.5
average_word_problems,exploring_mean_and_median,6.2,0.65
parabola_intuition_3,vertex_of_a_parabola,5.142857143,0.517857142875
parabola_intuition_3,graphing_parabolas_0.5,4.857142857,0.482142857125
completing_the_square_1,solving_quadratics_by_taking_the_square_root,6.545454545,0.693181818125
completing_the_square_1,vertex_of_a_parabola,3.090909091,0.261363636375
completing_the_square_1,solving_quadratics_by_factoring_2,5.454545455,0.556818181875
completing_the_square_1,solving_quadratics_by_factoring,6.545454545,0.693181818125
graphing_parabolas_1,solving_quadratics_by_taking_the_square_root,5.583333333,0.572916666625
graphing_parabolas_1,vertex_of_a_parabola,7.083333333,0.760416666625
graphing_parabolas_1,graphing_parabolas_0.5,5.916666667,0.614583333375
linear_equations_4,linear_equations_1,6.571428571,0.696428571375
linear_equations_4,linear_equations_2,7.571428571,0.821428571375
linear_equations_4,linear_equations_3,8.285714286,0.91071428575
linear_equations_4,age_word_problems,5.428571429,0.553571428625
linear_equations_4,mean_median_and_mode,1.428571429,0.053571428625
logical_arguments_deductive_reasoning,converse_inverse_and_contrapositive,6.142857143,0.642857142875
age_word_problems,functions_1,1.4,0.0499999999999999
age_word_problems,linear_equations_1,3.0,0.25
age_word_problems,linear_equations_2,4.8,0.475
age_word_problems,linear_equations_3,4.4,0.425
age_word_problems,vertex_of_a_parabola,1.4,0.0499999999999999
graphing_points,adding_vectors,1.454545455,0.056818181875
graphing_points,linear_equations_1,3.0,0.25
graphing_points,identifying_points_2,4.181818182,0.3977272727499999
even_and_odd_functions,functions_1,6.0,0.625
even_and_odd_functions,functions_3,3.3,0.2875
even_and_odd_functions,functions_2,3.9,0.3625
even_and_odd_functions,domain_and_range_0.5,6.4,0.675
graphing_linear_equations,combining_like_terms_1,2.4,0.175
graphing_linear_equations,graphing_inequalities,6.4,0.675
absolute_value_equations,functions_1,3.333333333,0.291666666625
absolute_value_equations,linear_equations_2,5.0,0.5
absolute_value_equations,linear_equations_3,5.666666667,0.583333333375
absolute_value_equations,linear_equations_4,3.333333333,0.291666666625
combining_like_terms_2,linear_equations_1,4.0,0.375
combining_like_terms_2,systems_of_equations_with_elimination_0.5,3.333333333,0.291666666625
combining_like_terms_2,combining_like_terms_with_two_variables,5.333333333,0.541666666625
combining_like_terms_2,combining_like_terms_1,8.666666667,0.958333333375
combining_like_terms_1,permutations_1,1.0,0.0
combining_like_terms_1,evaluating_expressions_1,6.0,0.625
combining_like_terms_1,combining_like_terms_2,4.666666667,0.458333333375
functions_1,linear_equations_2,5.666666667,0.583333333375
functions_1,linear_equations_3,4.333333333,0.4166666666249999
functions_1,linear_equations_4,3.0,0.25
functions_1,domain_and_range_0.5,7.0,0.75
functions_3,functions_1,7.0,0.75
functions_3,functions_2,8.0,0.875
functions_3,converse_inverse_and_contrapositive,1.333333333,0.0416666666249999
functions_3,even_and_odd_functions,5.0,0.5
functions_3,domain_and_range_0.5,5.666666667,0.583333333375
adding_vectors,linear_equations_1,3.333333333,0.291666666625
adding_vectors,scaling_vectors,6.333333333,0.666666666625
adding_vectors,combining_like_terms_2,3.333333333,0.291666666625
adding_vectors,inequalities_on_a_number_line,3.333333333,0.291666666625
inequalities_on_a_number_line,functions_1,2.0,0.125
inequalities_on_a_number_line,linear_equations_1,5.333333333,0.541666666625
inequalities_on_a_number_line,linear_equations_2,3.666666667,0.333333333375
inequalities_on_a_number_line,evaluating_expressions_2,3.666666667,0.333333333375
inequalities_on_a_number_line,combining_like_terms_2,4.0,0.375
systems_of_equations_with_elimination,systems_of_equations_with_elimination_0.5,8.666666667,0.958333333375
systems_of_equations_with_elimination,graphing_systems_of_equations,3.0,0.25
systems_of_equations_with_elimination,systems_of_equations,7.666666667,0.833333333375
systems_of_equations_with_elimination,systems_of_equations_with_substitution,8.0,0.875
probability_1,permutations_1,6.333333333,0.666666666625
probability_1,counting_1,1.333333333,0.0416666666249999
probability_1,counting_2,3.0,0.25
solving_quadratics_by_factoring_2,solving_quadratics_by_factoring,8.75,0.96875
solving_quadratics_by_factoring_2,quadratic_equation,3.75,0.34375
solving_quadratics_by_factoring_2,graphing_systems_of_equations,2.5,0.1875
solving_quadratics_by_factoring_2,completing_the_square_1,6.0,0.625
systems_of_equations_with_elimination_0.5,solutions_to_systems_of_equations,6.666666667,0.708333333375
systems_of_equations_with_elimination_0.5,systems_of_equations_with_elimination,6.333333333,0.666666666625
systems_of_equations_with_elimination_0.5,graphing_systems_of_equations,4.333333333,0.4166666666249999
systems_of_equations_with_elimination_0.5,systems_of_equations_with_substitution,8.0,0.875
systems_of_equations_with_elimination_0.5,graphing_linear_equations,4.0,0.375
parabola_intuition_1,recognizing_conic_sections,5.333333333,0.541666666625
linear_inequalities,linear_equations_2,5.666666667,0.583333333375
linear_inequalities,linear_equations_3,6.0,0.625
linear_inequalities,age_word_problems,2.666666667,0.2083333333749999
solving_quadratics_by_factoring,solving_quadratics_by_factoring_2,6.333333333,0.666666666625
trigonometry_1,trigonometry_0.5,8.0,0.875
linear_equations_2,linear_equations_1,8.666666667,0.958333333375
linear_equations_2,linear_equations_3,5.666666667,0.583333333375
linear_equations_2,graphing_points,3.0,0.25
systems_of_equations_word_problems,systems_of_equations_with_substitution,7.666666667,0.833333333375
systems_of_equations_word_problems,systems_of_equations_with_elimination,6.666666667,0.708333333375
systems_of_equations_word_problems,systems_of_equations,7.666666667,0.833333333375
systems_of_equations,systems_of_equations_with_elimination_0.5,6.333333333,0.666666666625
systems_of_equations,systems_of_equations_with_elimination,6.333333333,0.666666666625
systems_of_equations,systems_of_equations_word_problems,5.333333333,0.541666666625
systems_of_equations,systems_of_equations_with_substitution,7.666666667,0.833333333375
graphing_points_2,graphing_points,8.666666667,0.958333333375
graphing_points_2,linear_equations_1,1.666666667,0.083333333375
graphing_points_2,identifying_points_2,6.0,0.625
graphing_points_2,interpreting_linear_equations,6.666666667,0.708333333375
graphing_points_2,even_and_odd_functions,1.333333333,0.0416666666249999
interpreting_linear_equations,graphing_points,8.0,0.875
interpreting_linear_equations,identifying_points_2,7.333333333,0.791666666625
interpreting_linear_equations,slope_of_a_line,4.333333333,0.4166666666249999
interpreting_linear_equations,graphing_points_2,8.0,0.875
graphing_systems_of_equations,systems_of_equations_with_elimination_0.5,4.666666667,0.458333333375
graphing_systems_of_equations,graphing_parabolas_0.5,2.0,0.125
graphing_systems_of_equations,compound_inequalities,2.666666667,0.2083333333749999
graphing_systems_of_equations,graphing_linear_equations,8.666666667,0.958333333375
graphing_systems_of_equations,graphing_inequalities,4.333333333,0.4166666666249999
combining_like_terms_with_two_variables,linear_equations_1,5.333333333,0.541666666625
combining_like_terms_with_two_variables,combining_like_terms_2,8.666666667,0.958333333375
combining_like_terms_with_two_variables,combining_like_terms_1,8.666666667,0.958333333375
graphing_parabolas_0.5,solving_quadratics_by_taking_the_square_root,5.666666667,0.583333333375
graphing_parabolas_0.5,graphing_parabolas_1,7.666666667,0.833333333375
graphing_parabolas_0.5,parabola_intuition_1,6.666666667,0.708333333375
graphing_parabolas_0.5,parallel_lines_2,2.333333333,0.166666666625
converse_inverse_and_contrapositive,logical_arguments_deductive_reasoning,8.666666667,0.958333333375
degrees_to_radians,age_word_problems,1.5,0.0625
linear_equations_3,linear_equations_1,8.0,0.875
linear_equations_3,linear_equations_2,8.333333333,0.916666666625
linear_equations_3,combining_like_terms_1,7.333333333,0.791666666625
